unit_code,park_name,n_reservable_sites,n_fcfs_sites,avail_nights,total_nights,pct_available,weekend_pct,weekday_pct,has_campgrounds,n_facilities,fetched_at,window_start,window_end
ACAD,Acadia National Park,554,0,51,16620,0.3,0.3,0.3,True,4,2026-04-11T02:19:08.542036,2026-04-10,2026-05-10
NPSA,National Park of American Samoa,0,0,0,0,,,,False,0,2026-04-11T02:19:12.195947,2026-04-10,2026-05-10
ARCH,Arches National Park,51,0,1,1530,0.1,0.0,0.1,True,1,2026-04-11T02:19:12.195959,2026-04-10,2026-05-10
BADL,Badlands National Park,83,0,1870,2490,75.1,73.4,75.8,True,1,2026-04-11T02:19:12.980734,2026-04-10,2026-05-10
BIBE,Big Bend National Park,244,0,1796,7320,24.5,18.4,27.2,True,6,2026-04-11T02:19:13.886521,2026-04-10,2026-05-10
BISC,Biscayne National Park,4,0,0,120,0.0,0.0,0.0,True,2,2026-04-11T02:19:19.120704,2026-04-10,2026-05-10
BLCA,Black Canyon of the Gunnison National Park,84,0,0,2520,0.0,0.0,0.0,True,1,2026-04-11T02:19:20.822268,2026-04-10,2026-05-10
BRCA,Bryce Canyon National Park,199,0,1214,5970,20.3,18.5,21.1,True,2,2026-04-11T02:19:21.674209,2026-04-10,2026-05-10
CANY,Canyonlands National Park,14,0,18,420,4.3,3.2,4.8,True,2,2026-04-11T02:19:23.677596,2026-04-10,2026-05-10
CARE,Capitol Reef National Park,66,0,12,1980,0.6,0.7,0.6,True,2,2026-04-11T02:19:25.298385,2026-04-10,2026-05-10
CAVE,Carlsbad Caverns National Park,0,0,0,0,,,,False,0,2026-04-11T02:19:26.902413,2026-04-10,2026-05-10
CHIS,Channel Islands National Park,79,0,306,2370,12.9,8.6,14.8,True,7,2026-04-11T02:19:26.902435,2026-04-10,2026-05-10
CONG,Congaree National Park,22,0,444,660,67.3,55.6,72.3,True,2,2026-04-11T02:19:33.316521,2026-04-10,2026-05-10
CRLA,Crater Lake National Park,0,0,0,0,,,,False,0,2026-04-11T02:19:35.106422,2026-04-10,2026-05-10
CUVA,Cuyahoga Valley National Park,2,0,26,60,43.3,0.0,61.9,True,1,2026-04-11T02:19:35.106473,2026-04-10,2026-05-10
DEVA,Death Valley National Park,166,0,803,4980,16.1,14.5,16.8,True,2,2026-04-11T02:19:35.980597,2026-04-10,2026-05-10
DENA,Denali National Park and Preserve,0,0,0,0,,,,False,0,2026-04-11T02:19:37.967024,2026-04-10,2026-05-10
DRTO,Dry Tortugas National Park,0,0,0,0,,,,False,0,2026-04-11T02:19:37.967035,2026-04-10,2026-05-10
EVER,Everglades National Park,0,0,0,0,,,,False,0,2026-04-11T02:19:37.967042,2026-04-10,2026-05-10
GAAR,Gates of the Arctic National Park and Preserve,0,0,0,0,,,,False,0,2026-04-11T02:19:37.967048,2026-04-10,2026-05-10
JEFF,Gateway Arch National Park,0,0,0,0,,,,False,0,2026-04-11T02:19:37.967252,2026-04-10,2026-05-10
GLAC,Glacier National Park,890,0,2273,26700,8.5,9.3,8.2,True,9,2026-04-11T02:19:37.967274,2026-04-10,2026-05-10
GLBA,Glacier Bay National Park and Preserve,0,0,0,0,,,,False,0,2026-04-11T02:19:45.924337,2026-04-10,2026-05-10
GRCA,Grand Canyon National Park,375,0,2500,11250,22.2,20.0,23.2,True,2,2026-04-11T02:19:45.924348,2026-04-10,2026-05-10
GRTE,Grand Teton National Park,1144,0,1998,34320,5.8,3.9,6.6,True,8,2026-04-11T02:19:48.598436,2026-04-10,2026-05-10
GRBA,Great Basin National Park,13,0,0,390,0.0,0.0,0.0,True,1,2026-04-11T02:19:56.599285,2026-04-10,2026-05-10
GRSA,Great Sand Dunes National Park and Preserve,89,0,494,2670,18.5,11.1,21.7,True,1,2026-04-11T02:19:57.491464,2026-04-10,2026-05-10
GRSM,Great Smoky Mountains National Park,986,0,1852,29580,6.3,6.4,6.2,True,30,2026-04-11T02:19:58.430913,2026-04-10,2026-05-10
GUMO,Guadalupe Mountains National Park,50,0,318,1500,21.2,15.3,23.7,True,3,2026-04-11T02:20:25.674693,2026-04-10,2026-05-10
HALE,Haleakala National Park,0,0,0,0,,,,False,0,2026-04-11T02:20:28.425070,2026-04-10,2026-05-10
HAVO,Hawaii Volcanoes National Park,0,0,0,0,,,,False,0,2026-04-11T02:20:28.425254,2026-04-10,2026-05-10
HOSP,Hot Springs National Park,0,0,0,0,,,,False,0,2026-04-11T02:20:28.425272,2026-04-10,2026-05-10
INDU,Indiana Dunes National Park,72,0,1164,2160,53.9,40.3,59.7,True,3,2026-04-11T02:20:28.425283,2026-04-10,2026-05-10
ISRO,Isle Royale National Park,0,0,0,0,,,,False,0,2026-04-11T02:20:30.904651,2026-04-10,2026-05-10
JOTR,Joshua Tree National Park,0,0,0,0,,,,True,9,2026-04-11T02:20:30.904662,2026-04-10,2026-05-10
KATM,Katmai National Park and Preserve,1,0,9,30,30.0,33.3,28.6,True,1,2026-04-11T02:25:12.066913,2026-04-10,2026-05-10
KEFJ,Kenai Fjords National Park,2,0,0,60,0.0,0.0,0.0,True,1,2026-04-11T02:25:31.299223,2026-04-10,2026-05-10
KICA,Kings Canyon National Park,1142,0,334,34260,1.0,0.8,1.1,True,14,2026-04-11T02:25:32.381490,2026-04-10,2026-05-10
KOVA,Kobuk Valley National Park,0,0,0,0,,,,False,0,2026-04-11T02:25:44.709675,2026-04-10,2026-05-10
LACL,Lake Clark National Park and Preserve,1,0,0,30,0.0,0.0,0.0,True,1,2026-04-11T02:25:44.709685,2026-04-10,2026-05-10
LAVO,Lassen Volcanic National Park,434,0,0,13020,0.0,0.0,0.0,True,14,2026-04-11T02:25:45.531931,2026-04-10,2026-05-10
MACA,Mammoth Cave National Park,143,0,2370,4290,55.2,43.2,60.4,True,5,2026-04-11T02:25:58.699639,2026-04-10,2026-05-10
MEVE,Mesa Verde National Park,0,0,0,0,,,,False,0,2026-04-11T02:26:03.189326,2026-04-10,2026-05-10
MORA,Mount Rainier National Park,444,0,0,13320,0.0,0.0,0.0,True,5,2026-04-11T02:26:03.189335,2026-04-10,2026-05-10
NERI,New River Gorge National Park and Preserve,5,0,34,150,22.7,15.6,25.7,True,5,2026-04-11T02:26:07.219171,2026-04-10,2026-05-10
NOCA,North Cascades National Park,285,0,0,8550,0.0,0.0,0.0,True,10,2026-04-11T02:26:12.407288,2026-04-10,2026-05-10
OLYM,Olympic National Park,0,0,0,0,,,,True,5,2026-04-11T02:26:36.740732,2026-04-10,2026-05-10
PEFO,Petrified Forest National Park,0,0,0,0,,,,False,0,2026-04-11T02:29:12.884794,2026-04-10,2026-05-10
PINN,Pinnacles National Park,0,0,0,0,,,,True,1,2026-04-11T02:29:12.884804,2026-04-10,2026-05-10
REDW,Redwood National and State Parks,0,0,0,0,,,,False,0,2026-04-11T02:29:44.147462,2026-04-10,2026-05-10
ROMO,Rocky Mountain National Park,233,0,0,6990,0.0,0.0,0.0,True,4,2026-04-11T02:29:44.147629,2026-04-10,2026-05-10
SAGU,Saguaro National Park,0,0,0,0,,,,False,0,2026-04-11T02:31:22.199192,2026-04-10,2026-05-10
SEQU,Sequoia National Park,0,0,0,0,,,,False,0,2026-04-11T02:31:22.199200,2026-04-10,2026-05-10
SHEN,Shenandoah National Park,611,0,4819,18330,26.3,18.8,29.5,True,4,2026-04-11T02:31:22.199209,2026-04-10,2026-05-10
THRO,Theodore Roosevelt National Park,73,0,143,2190,6.5,5.6,6.9,True,3,2026-04-11T02:31:25.976055,2026-04-10,2026-05-10
VIIS,Virgin Islands National Park,0,0,0,0,,,,False,0,2026-04-11T02:31:29.313286,2026-04-10,2026-05-10
VOYA,Voyageurs National Park,160,0,4145,4800,86.4,85.6,86.7,True,1,2026-04-11T02:31:29.313307,2026-04-10,2026-05-10
WHSA,White Sands National Park,0,0,0,0,,,,False,0,2026-04-11T02:31:30.434299,2026-04-10,2026-05-10
WICA,Wind Cave National Park,0,0,0,0,,,,False,0,2026-04-11T02:31:30.434306,2026-04-10,2026-05-10
WRST,Wrangell-St. Elias National Park and Preserve,1,0,22,30,73.3,77.8,71.4,True,1,2026-04-11T02:31:30.434313,2026-04-10,2026-05-10
YELL,Yellowstone National Park,197,0,924,5910,15.6,15.3,15.8,True,4,2026-04-11T02:31:31.282223,2026-04-10,2026-05-10
YOSE,Yosemite National Park,1391,0,624,41730,1.5,0.8,1.8,True,13,2026-04-11T02:31:35.499436,2026-04-10,2026-05-10
ZION,Zion National Park,303,0,16,9090,0.2,0.1,0.2,True,2,2026-04-11T02:31:46.680484,2026-04-10,2026-05-10
